iter,mean_reward,mean_energy_per_atom,invalid_rate,kl,clipfrac,adv_abs_mean,match_rate,mean_rmsd,corr_rmsd,relative_energy_per_atom,gen_energy_per_atom,ref_energy_per_atom,invalid_energy_rate,sec
0,5.381737154266231,-5.361368550594142,0.0,0.009449691060581245,0.05296440997888567,0.7121813297271729,0.5390625,0.20747705210543424,0.3423118484005856,1.1752531783985471,-4.546355577617998,-5.721608756016545,0.015625,35.48
1,5.410467807689461,-5.399189841527758,0.0,0.006260468703112565,0.020928819434484467,0.7216479778289795,,,,,,,,33.18
2,5.292158583310738,-5.27369822381408,0.0,0.007426692728768103,0.004952256933611352,0.7073265910148621,,,,,,,,33.39
3,5.428335286996655,-5.409783496950487,0.0,0.010997636709653306,0.0025564236228819938,0.7141320705413818,,,,,,,,32.69
4,5.467989750349471,-5.462799922361349,0.0,0.01605785187159199,0.002821180592873134,0.7121901512145996,,,,,,,,32.42
5,5.47673790765359,-5.455756332423714,0.0,0.023829552116221748,0.0032465278124436735,0.6732111573219299,,,,,,,,32.53
6,5.5775932214163335,-5.566652310433398,0.0,0.033627195302397016,0.003233507021213882,0.7042543888092041,,,,,,,,32.45
7,5.613558820209798,-5.627268185023215,0.001953125,0.04187038968200795,0.0018402777772280388,0.7377469539642334,,,,,,,,36.09
8,5.6514398304315,-5.6452086995511,0.0,0.04965608625905588,0.0013541666735545732,0.6926482319831848,,,,,,,,32.66
9,5.698702718263249,-5.6888513303672275,0.0,0.05783901405055076,0.0017925347603159026,0.6854970455169678,,,,,,,,33.98
10,5.686536880661343,-5.674934286167401,0.0,0.06759370296029374,0.0022135416980017908,0.7286016941070557,0.625,0.1763997692785934,0.2977498557991209,0.5341721198015676,-5.18743667443249,-5.721608794234058,0.0,32.58
11,5.734612830296123,-5.7308461316683825,0.0,0.07786954314913601,0.002183159761771094,0.7508063912391663,,,,,,,,32.65
12,5.746858700569282,-5.74445917579301,0.0,0.08747662462294102,0.0019444444208056666,0.7418301105499268,,,,,,,,32.74
13,5.772126976300148,-5.763864929215717,0.0,0.10186708828434349,0.0024262152446317487,0.7028142213821411,,,,,,,,32.8
14,5.787143803293839,-5.779177094729883,0.0,0.10850678763119503,0.0013845485949423163,0.7276512384414673,,,,,,,,32.92
15,5.771018836988535,-5.765393414357234,0.0,0.11490901832468808,0.0016970486106583848,0.7369298934936523,,,,,,,,33.02
16,5.793877133610672,-5.792505458072714,0.0,0.1172070274548605,0.001736111122299917,0.743750810623169,,,,,,,,32.91
17,5.797066821767801,-5.794741015601904,0.0,0.12203588549047709,0.002222222263808362,0.7555742859840393,,,,,,,,33.01
18,5.802498759833271,-5.796033098499867,0.0,0.12609956051688642,0.0020442707801703363,0.7175872325897217,,,,,,,,32.89
19,5.817627516419893,-5.8153190788901625,0.0,0.12984848517924547,0.0018098958130576648,0.7363916635513306,,,,,,,,32.96
20,5.823738054089035,-5.822123362580758,0.0,0.14556150653865188,0.0021137152952724137,0.7657805681228638,0.640625,0.13956858587711912,0.26909862532752943,0.4022184575950458,-5.3193904799504015,-5.721608937545447,0.0,32.74
21,5.821411395325876,-5.819362573871123,0.0,0.14805970310699196,0.0018446180911269039,0.7307716012001038,,,,,,,,32.64
22,5.789102084918413,-5.800230823039964,0.001953125,0.15256252609193324,0.0016145833206246607,0.6876552104949951,,,,,,,,33.13
23,5.828884194642159,-5.819387719363329,0.0,0.15640151204075664,0.0015625000194995663,0.6597257852554321,,,,,,,,33.94
24,5.830426252659568,-5.828814225133863,0.0,0.16572771038860082,0.0023567708794143983,0.7138561010360718,,,,,,,,34.2
25,5.827652734810256,-5.826189778000116,0.0,0.17440139376558364,0.0019314236706122756,0.7221254110336304,,,,,,,,34.22
26,5.848792218834149,-5.848458109702915,0.0,0.18078990777023138,0.0017491319304099306,0.7724858522415161,,,,,,,,33.91
27,5.834690052954523,-5.833366714209496,0.0,0.18413462972268463,0.0021527777810115365,0.7554231882095337,,,,,,,,33.26
28,5.865996534901779,-5.864489976223559,0.0,0.19291707101278008,0.0032421874967985785,0.7282478213310242,,,,,,,,33.95
29,5.85930512778233,-5.858434153600994,0.0,0.19483407997526228,0.0030512152847950347,0.7280977368354797,,,,,,,,34.12
30,5.851665435365355,-5.850100746950401,0.0,0.20915874903090298,0.0030251736048376187,0.7402805089950562,0.609375,0.13048025027689544,0.2748239025124831,0.31130979225490574,-5.410299196154255,-5.7216089884091605,0.0078125,33.05
31,5.862867665808563,-5.86085285797183,0.0,0.21204556797631086,0.0021831596869742497,0.6986036896705627,,,,,,,,33.99
32,5.864321185133335,-5.862400154521067,0.0,0.21672451678663493,0.003055555509054102,0.7098411321640015,,,,,,,,33.95
33,5.880757306995844,-5.879856163139144,0.0,0.23270202030427753,0.002786458323826082,0.7284336090087891,,,,,,,,34.13
34,5.878425520534593,-5.875605369789437,0.0,0.22899384978227316,0.002838541644741781,0.6860430240631104,,,,,,,,34.37
35,5.861690140067433,-5.857835421125804,0.0,0.23122524571605027,0.0038975694254622796,0.708810567855835,,,,,,,,34.72
36,5.870771432176827,-5.867313021381518,0.0,0.2371141807269305,0.0037456597117125055,0.7132841348648071,,,,,,,,34.51
37,5.872917567572827,-5.871520813408175,0.0,0.23928585026413202,0.002947048645291943,0.7364763021469116,,,,,,,,34.21
38,5.873945940959637,-5.872852634124103,0.0,0.24783483570441603,0.003368055652535986,0.7375917434692383,,,,,,,,34.7
39,5.873298492691056,-5.871790333979186,0.0,0.2446410526148975,0.0035373263989458793,0.7394154071807861,,,,,,,,34.13
40,5.876525831011939,-5.874905183481141,0.0,0.24993256626650692,0.002395833356422372,0.7479257583618164,0.6171875,0.11630952259015595,0.2631910334736119,0.32642085552509226,-5.395187962279698,-5.72160881780479,0.0,34.55
41,5.891380864256551,-5.890711651267927,0.0,0.25435725804418324,0.0022048611359787172,0.730806827545166,,,,,,,,34.05
42,5.885109652663139,-5.884177097784622,0.0,0.2653214966878295,0.002777777835726738,0.7292535305023193,,,,,,,,34.17
