iter,mean_reward,mean_energy_per_atom,invalid_rate,kl,clipfrac,adv_abs_mean,match_rate,mean_rmsd,corr_rmsd,relative_energy_per_atom,gen_energy_per_atom,ref_energy_per_atom,invalid_energy_rate,sec
54,5.888924894801059,-5.888433001279122,0.0,0.32005264032632114,0.004739583353803027,0.7508916854858398,,,,,,,,33.45
55,5.887167183903831,-5.884972965251655,0.0,0.32252737663686276,0.00450520842714468,0.7475526928901672,,,,,,,,33.91
56,5.887399967778389,-5.883191492563734,0.0,0.33184792540967467,0.007630208433838561,0.7206170558929443,,,,,,,,34.5
57,5.889186072928903,-5.887913199771373,0.0,0.35325191359966995,0.005954861220670864,0.7369568347930908,,,,,,,,34.65
58,5.908322051469874,-5.905774710673307,0.0,0.3412818003445864,0.004144965315936134,0.7357391119003296,,,,,,,,33.68
59,5.895867529205322,-5.8941611672929,0.0,0.36235872268676755,0.004978298654605169,0.7149488925933838,,,,,,,,34.82
60,5.901316291086345,-5.899960262652132,0.0,0.35379150230437517,0.004136284763517324,0.739042341709137,0.609375,0.13083108389345277,0.27503769174757275,0.2479613882382985,-5.47364742717714,-5.721608815415438,0.0,33.79
61,5.899849726175835,-5.896979155595459,0.0,0.35850963089615107,0.006184895974874962,0.7144460678100586,,,,,,,,33.43
62,5.90567508183775,-5.904928567193981,0.0,0.3629135175049305,0.0050434027795563455,0.7425419092178345,,,,,,,,33.51
63,5.907536804601124,-5.906639455666854,0.0,0.3639861398935318,0.0049652777385199446,0.7462642192840576,,,,,,,,33.38
64,5.898719471210807,-5.897787822862821,0.0,0.38412991151213643,0.005954861101345159,0.7187462449073792,,,,,,,,35.35
65,5.900558861879201,-5.891119847056411,0.0,0.36573776248842477,0.0046788195637054745,0.7088147401809692,,,,,,,,36.72
66,5.9018055097369935,-5.900582278360214,0.0,0.37661719910800456,0.005230034792330116,0.7042840719223022,,,,,,,,34.64
67,5.902854000022792,-5.901415961821165,0.0,0.3808138960972428,0.007925347099080682,0.7461603879928589,,,,,,,,36.57
68,5.907209420015658,-5.90634183253472,0.0,0.36988846234977246,0.0042447916747187266,0.740037202835083,,,,,,,,33.36
69,5.902121690021664,-5.900910059633177,0.0,0.40388043005019425,0.007821180610917508,0.730970025062561,,,,,,,,33.37
70,5.911761218380393,-5.910117761125522,0.0,0.392637288197875,0.00421875010302756,0.72948157787323,0.6328125,0.10830159752789398,0.25212835468562045,0.28539282502384555,-5.436216217834233,-5.721609042858079,0.0,33.45
71,5.908652407333824,-5.902868760745262,0.0,0.40589782044291495,0.009088541764067487,0.7096302509307861,,,,,,,,34.31
72,5.900353405870976,-5.889004121889315,0.0,0.403039310388267,0.006974826448422391,0.7081887722015381,,,,,,,,34.49
73,5.907022863391964,-5.90615314891828,0.0,0.41253825053572657,0.009188368241593707,0.7139387130737305,,,,,,,,33.75
74,5.893626171431022,-5.8923301128005345,0.0,0.43617661081254483,0.010629340364248492,0.7362827062606812,,,,,,,,34.61
75,5.898860555601686,-5.897686158125067,0.0,0.44177749373018743,0.011684027986193541,0.7370970845222473,,,,,,,,33.83
76,5.90045852207132,-5.899517171435235,0.0,0.43075423590838907,0.013784722262062132,0.725243330001831,,,,,,,,34.46
77,5.896150977496387,-5.892845067754388,0.0,0.4549477979168296,0.014648437695286702,0.7375802993774414,,,,,,,,33.44
78,5.9118344560994744,-5.909993560425937,0.0,0.4291116996854544,0.007734374990686774,0.7184523940086365,,,,,,,,33.52
79,5.908799715189928,-5.907627190294719,0.0,0.4518217546492815,0.01138454895641189,0.737662136554718,,,,,,,,33.77
