iter,mean_reward,mean_energy_per_atom,invalid_rate,kl,clipfrac,adv_abs_mean,match_rate,mean_rmsd,corr_rmsd,relative_energy_per_atom,gen_energy_per_atom,ref_energy_per_atom,invalid_energy_rate,sec
0,5.058116943197648,-5.040477658685617,0.001953125,0.007375479013835502,0.04834201383637264,0.6858454942703247,0.546875,0.2134649922809433,0.3433011676536408,1.1843897592561357,-4.53721909568377,-5.721608854939905,0.0078125,38.17
1,5.0335651289329615,-5.00989890223746,0.0,0.0064996085921666235,0.022092013768851757,0.6870004534721375,,,,,,,,33.22
2,4.981840372831419,-4.980914968226582,0.00390625,0.006629916415404296,0.0037934028642484918,0.6926014423370361,,,,,,,,33.99
3,5.018949281134828,-5.010241256756881,0.001953125,0.010137264879122086,0.0030381944475811906,0.7102037072181702,,,,,,,,34.57
4,5.240249747628102,-5.225715451395982,0.0,0.015028300345948082,0.0019097222571144812,0.7188360691070557,,,,,,,,34.31
5,5.242888280288926,-5.225800759446186,0.0,0.021952059540562913,0.002235243032046128,0.7045998573303223,,,,,,,,34.28
6,5.391418490405435,-5.374695698451251,0.0,0.03079880692923325,0.0026128472248092296,0.6981253623962402,,,,,,,,33.24
7,5.4501218581381226,-5.4606371401129685,0.001953125,0.040139667449111585,0.002083333339251112,0.68603515625,,,,,,,,33.2
8,5.515658047023044,-5.525285864576202,0.001953125,0.05019646748158266,0.0024435764201916755,0.7015055418014526,,,,,,,,33.14
9,5.584426253079386,-5.5772120106654866,0.0,0.061783839351410276,0.002374131936230697,0.7139336466789246,,,,,,,,33.19
10,5.614658563038368,-5.609228429318007,0.0,0.07045759559376165,0.001653645851474721,0.714863657951355,0.6171875,0.18400021700658328,0.30496888393375066,0.5041343778052276,-5.2174744880216934,-5.721608865826921,0.0,33.37
11,5.6720078779312475,-5.6673985255837795,0.0,0.08146057582722278,0.0011067708459449933,0.7380847334861755,,,,,,,,34.63
12,5.692026740736573,-5.68843807014415,0.0,0.09020160922518698,0.0023090278267045507,0.7355201244354248,,,,,,,,33.03
13,5.676441802755747,-5.690971821732628,0.001953125,0.1067739525801153,0.002816840277228039,0.712924599647522,,,,,,,,33.2
14,5.702657442936642,-5.6960053513137,0.0,0.11346906823018799,0.0014670139062218368,0.6750584244728088,,,,,,,,34.5
15,5.731266138148113,-5.725787262509888,0.0,0.1226071155696991,0.0015234374965075403,0.7292457818984985,,,,,,,,34.24
16,5.741482482047778,-5.735875806753478,0.0,0.13318909662106307,0.001697048643254675,0.7155183553695679,,,,,,,,34.09
17,5.739784057210533,-5.729158589368065,0.0,0.14416448191390374,0.0025000000049476513,0.7113566398620605,,,,,,,,34.01
18,5.737131521481913,-5.709419947951323,0.0,0.1524145847564796,0.0025043402903247624,0.723656177520752,,,,,,,,34.54
19,5.774799870339956,-5.767153724694314,0.0,0.16381401358754374,0.002773437546857167,0.6895495653152466,,,,,,,,33.62
20,5.770379488379804,-5.759713910329378,0.0,0.17319284694851375,0.002486979170353152,0.7310287952423096,0.6484375,0.12845017380036128,0.2590731595736718,0.34642537849267363,-5.375183499313646,-5.72160887780632,0.0,33.15
21,5.796875406041328,-5.793647109668347,0.0,0.18217085063341074,0.0014973958730115555,0.7038328051567078,,,,,,,,33.23
22,5.803945230362545,-5.799394488188305,0.0,0.18859792378672866,0.002109375035215635,0.7413980960845947,,,,,,,,33.29
23,5.797560071655463,-5.79109801933879,0.0,0.2071744280506391,0.002317708340997342,0.743677020072937,,,,,,,,33.27
24,5.806379452303759,-5.799478020842764,0.0,0.21114298073982354,0.0022048611580976285,0.7010769248008728,,,,,,,,34.45
25,5.792435221324838,-5.805387090696848,0.001953125,0.21828624815447256,0.001966145828773733,0.7080304622650146,,,,,,,,33.73
26,5.818889043826161,-5.8151959566488145,0.0,0.22712943292688578,0.0028038194446708075,0.7181017398834229,,,,,,,,33.26
27,5.827602750186111,-5.824268251559919,0.0,0.23497903901909012,0.0031770834524650128,0.7132581472396851,,,,,,,,33.52
28,5.822195391302417,-5.820231262798465,0.0,0.23748348003486172,0.0031423611537320538,0.7362791299819946,,,,,,,,35.37
29,5.826704905102663,-5.824774145738532,0.0,0.24104914769472088,0.002921006943506654,0.7193187475204468,,,,,,,,34.26
30,5.832976451106926,-5.831422043485301,0.0,0.2439070292923134,0.002504340347077232,0.7322072982788086,0.6171875,0.1415990548623812,0.2787994166728759,0.39494471189751756,-5.326664091625732,-5.7216088035232495,0.0,34.89
31,5.839997923768361,-5.837839639058248,0.0,0.2525835077825468,0.0037847222608979793,0.7287619113922119,,,,,,,,34.18
32,5.847707639349525,-5.846000888034524,0.0,0.2464902632648591,0.002491319397231564,0.7357370853424072,,,,,,,,34.22
33,5.838265672407456,-5.835149501445924,0.0,0.26721372370258906,0.0027083333497284912,0.7037414908409119,,,,,,,,35.16
34,5.852622715888405,-5.85012248477322,0.0,0.26684476301656107,0.002491319438267965,0.7176953554153442,,,,,,,,34.88
35,5.833955685694754,-5.827302762542274,0.0,0.28422134296270085,0.003932291736418847,0.7141170501708984,,,,,,,,34.34
36,5.846133013911541,-5.842976929925914,0.0,0.2896502506919205,0.002816840244049672,0.7005481123924255,,,,,,,,35.19
37,5.849635713638283,-5.846343526128857,0.0,0.3015120262769051,0.004583333368645981,0.7221616506576538,,,,,,,,34.46
38,5.850865549702432,-5.8468572508588075,0.0,0.30870549215120263,0.003676215375890024,0.7405564188957214,,,,,,,,35.21
39,5.8590113828269095,-5.857065803797117,0.0,0.3121854185324628,0.0036328125721774994,0.7250924706459045,,,,,,,,35.11
40,5.856958763622116,-5.855993562067548,0.0,0.31391843398683705,0.0042100695395492944,0.7375448346138,0.625,0.11755709292692393,0.2609731830793275,0.28361077587874917,-5.437998075639101,-5.72160885151785,0.0,33.84
41,5.853487810986781,-5.8485665355631635,0.0,0.32142609350383283,0.003719618125469424,0.6914104223251343,,,,,,,,34.93
42,5.864655218520836,-5.862938016821586,0.0,0.3260139911726583,0.004709201495570596,0.7227802872657776,,,,,,,,34.4
