iter,mean_reward,mean_energy_per_atom,invalid_rate,kl,clipfrac,adv_abs_mean,match_rate,mean_rmsd,corr_rmsd,relative_energy_per_atom,gen_energy_per_atom,ref_energy_per_atom,invalid_energy_rate,sec
0,5.050678639324731,-5.034239898279189,0.001953125,0.007494896452863031,0.04837673587084282,0.6849218606948853,0.5390625,0.20955065549736407,0.3434296502290478,1.2040552475999515,-4.517553664994703,-5.721608912594655,0.0078125,35.97
1,5.019044393726993,-5.019019277783668,0.00390625,0.006510596791404168,0.02229600688791834,0.7010669112205505,,,,,,,,33.63
2,4.969523247073182,-4.934271837351844,0.0,0.00675476155756769,0.0036805556309991517,0.6839700937271118,,,,,,,,34.03
3,5.031377372755939,-5.014508666124727,0.0,0.010072694928094279,0.002829861076606903,0.7335345149040222,,,,,,,,34.59
4,5.252386076323114,-5.240997377235354,0.0,0.015071013732231221,0.0018185764321242458,0.726351797580719,,,,,,,,35.09
5,5.238070989407344,-5.214837876465615,0.0,0.02166439702967182,0.002387152768787928,0.7122796177864075,,,,,,,,35.75
6,5.382133177110303,-5.365263759331512,0.0,0.030631443894817492,0.0032204861388891006,0.695660412311554,,,,,,,,34.73
7,5.441677440767797,-5.4161184569266405,0.0,0.04090175918172463,0.002621527781302575,0.6804847717285156,,,,,,,,35.61
8,5.533176183541855,-5.52890262307067,0.0,0.05186847436605604,0.003138020815385971,0.7217675447463989,,,,,,,,34.23
9,5.547640146751315,-5.520200666770828,0.0,0.06359351039835019,0.0019878472629352474,0.6538189649581909,,,,,,,,34.09
10,5.625569934617717,-5.610175351596748,0.0,0.07417106258071726,0.0015538194257533177,0.681000292301178,0.6328125,0.1918012154213576,0.3049679566338278,0.5502812021309857,-5.17132755843739,-5.721608760568376,0.0,34.19
11,5.649267738247474,-5.655950028484638,0.001953125,0.08489043488400057,0.0013498264009831472,0.7084503173828125,,,,,,,,34.34
12,5.679259996012744,-5.661168678542266,0.0,0.0960259917084477,0.0019574652527808213,0.6808246374130249,,,,,,,,34.95
13,5.702759822612409,-5.698782895629605,0.0,0.10985069292684785,0.0017013889004010706,0.72220778465271,,,,,,,,34.74
14,5.700964649269018,-5.682078230935371,0.0,0.1150383586497628,0.001323784711130429,0.6809877157211304,,,,,,,,34.13
15,5.72080710467405,-5.731899128616962,0.001953125,0.12494544158165809,0.0016362847489654086,0.6966478228569031,,,,,,,,33.18
16,5.735298478208011,-5.729338396819575,0.0,0.13436353307421087,0.0017881944868713617,0.7383659482002258,,,,,,,,34.15
17,5.744947305211865,-5.7417502564622005,0.0,0.14693883139145328,0.002847222251002677,0.7338696718215942,,,,,,,,34.18
18,5.754216112225852,-5.747180591326295,0.0,0.16035560509189964,0.003055555604514666,0.7424498796463013,,,,,,,,34.62
19,5.769411275035541,-5.759894216570649,0.0,0.16932820578454993,0.0019574652629671617,0.70418381690979,,,,,,,,34.08
20,5.77166829024878,-5.768956590120104,0.0,0.17774097858404275,0.0023741319790133277,0.7451287508010864,0.640625,0.1377291210279,0.2679202181584984,0.3793697921253605,-5.342239208843722,-5.7216090009690825,0.0,34.34
21,5.784685380134315,-5.781281216792939,0.0,0.18908498915378005,0.00165364584478084,0.7258530855178833,,,,,,,,33.33
22,5.813117203884357,-5.809724655609933,0.0,0.20344781860301736,0.0042664931059698576,0.7487119436264038,,,,,,,,33.13
23,5.803749822551081,-5.800085933994325,0.0,0.20802756289427635,0.0026041666450328195,0.7327491044998169,,,,,,,,34.58
24,5.818835665642289,-5.8169069193347935,0.0,0.21538921759696678,0.0029383681478793735,0.7471866011619568,,,,,,,,34.39
25,5.824881953447109,-5.823832552738132,0.0,0.21888889044348617,0.003055555521277711,0.7508714199066162,,,,,,,,34.19
26,5.82747223309914,-5.826213444565378,0.0,0.22348701711685862,0.0029513889769441446,0.7433207035064697,,,,,,,,34.65
27,5.832496993639171,-5.829281357498397,0.0,0.2342687448632205,0.004361979173845612,0.7558239698410034,,,,,,,,34.51
28,5.84027059365199,-5.839207579554724,0.0,0.24166176269063727,0.004822048702335451,0.7479814291000366,,,,,,,,34.63
29,5.822979652097462,-5.837602854974782,0.001953125,0.2448875789932208,0.0026953125387080947,0.7033176422119141,,,,,,,,34.45
30,5.849240522040398,-5.844008317217231,0.0,0.24592665505071637,0.0017013888809015044,0.7094215154647827,0.640625,0.15935404339282938,0.28177368404853137,0.38496310421255586,-5.33664568073713,-5.7216087849496855,0.0,34.5
31,5.863200685053991,-5.862221232433582,0.0,0.25956227743183263,0.0033463541738456117,0.7342954874038696,,,,,,,,34.03
32,5.865289506853251,-5.864089218243247,0.0,0.26127246678923255,0.0036892361010541206,0.7331733703613281,,,,,,,,34.33
33,5.861996686821077,-5.858921895377959,0.0,0.274324901655782,0.0030251736388891004,0.7215992212295532,,,,,,,,34.69
34,5.862566132924827,-5.859765872523366,0.0,0.2753397249802947,0.0029470486970967612,0.720794677734375,,,,,,,,33.26
35,5.866327240401988,-5.861281605393049,0.0,0.28396290246397254,0.004040798652858939,0.7105864882469177,,,,,,,,34.02
36,5.8624230293810715,-5.860322632494249,0.0,0.28053238985943607,0.004240451384976041,0.7419682741165161,,,,,,,,33.84
37,5.86718302522695,-5.863831304215516,0.0,0.3004205632780213,0.003198784782143775,0.7060643434524536,,,,,,,,35.04
38,5.871184319551894,-5.868898012462472,0.0,0.3040269748750143,0.004197048666537739,0.706601619720459,,,,,,,,33.66
